ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
9201,9201,0,0
197988,197988,0,0
312327,434376,1,1
312327,438170,1,1
312327,436706,1,1
312327,438438,1,1
312327,444406,1,1
312327,312327,0,0
312327,441579,2,2
312327,438447,1,1
314666,314666,0,0
439693,439693,0,0
444406,444406,0,0
73855,73855,0,0
195083,194755,1,1
195083,195083,0,0
434376,434376,0,0
435928,435928,0,0
1180188,1180188,0,0
197381,194491,1,1
197381,197381,0,0
197981,197981,0,0
197981,194755,1,1
197981,40488954,1,1
197981,194491,1,1
197981,40490986,1,1
197981,443629,1,1
197981,4116950,1,1
197981,40490984,1,1
198263,40488954,1,1
198263,198263,0,0
317109,317109,0,0
442289,442289,0,0
443629,443629,0,0
38001126,38001126,0,0
194696,194696,0,0
442764,442764,0,0
2617457,2617457,0,0
38001113,38001113,0,0
201690,201690,0,0
319038,319038,0,0
441579,441579,0,0
2617231,2617231,0,0
2617454,2617454,0,0
38001124,38001124,0,0
194175,194175,0,0
194175,40490984,1,1
436706,436706,0,0
2617453,2617453,0,0
4116950,4116950,0,0
40488954,40488954,0,0
9202,9202,0,0
435773,435773,0,0
438447,438447,0,0
439141,439141,0,0
2617342,2617342,0,0
2617452,2617452,0,0
38001110,38001110,0,0
193322,40490986,1,1
193322,193322,0,0
438172,438172,0,0
438438,438438,0,0
2617455,2617455,0,0
38001108,38001108,0,0
194491,194491,0,0
200219,200219,0,0
200219,194755,2,3
200219,194491,2,3
200219,40481920,2,2
200219,40488954,2,3
200219,201690,2,2
200219,201418,2,2
200219,442764,1,1
200219,40490986,2,3
200219,197981,1,1
200219,194696,2,2
200219,194175,2,2
200219,443629,2,2
200219,4116950,2,2
200219,197988,1,1
200219,198263,2,2
200219,193322,2,2
200219,197381,2,2
200219,40490984,2,3
200219,195083,2,2
2617477,2617477,0,0
38001112,38001112,0,0
38001125,38001125,0,0
40490984,40490984,0,0
40490986,40490986,0,0
194755,194755,0,0
201418,201418,0,0
321042,321042,0,0
435937,435937,0,0
438170,438170,0,0
438170,441579,1,1
1180186,1180186,0,0
1180186,19033211,0,0
2617456,2617456,0,0
2617478,2617478,0,0
19033211,19033211,0,0
40481920,40481920,0,0
