cohort_id,concept_set_id,database_id,concept_id,concept_count,concept_subjects
22,2,CMSDESynPUF1k,2617477,60,10
22,2,CMSDESynPUF1k,2617454,-5,-5
22,2,CMSDESynPUF1k,2617452,77,69
22,2,CMSDESynPUF1k,2617455,-5,-5
22,2,CMSDESynPUF1k,2617231,-5,-5
22,2,CMSDESynPUF1k,2617453,-5,-5
22,2,CMSDESynPUF1k,2617456,6,6
22,2,CMSDESynPUF1k,2617457,-5,-5
22,2,CMSDESynPUF1k,2617478,8,-5
22,2,CMSDESynPUF1k,2617342,-5,-5
22,3,CMSDESynPUF1k,44831238,69,58
22,3,CMSDESynPUF1k,319038,52,48
22,3,CMSDESynPUF1k,38001112,-5,-5
22,3,CMSDESynPUF1k,38001108,-5,-5
22,3,CMSDESynPUF1k,38001110,-5,-5
22,3,CMSDESynPUF1k,38001113,-5,-5
22,3,CMSDESynPUF1k,44835929,52,48
22,3,CMSDESynPUF1k,438172,11,11
22,3,CMSDESynPUF1k,44826643,-5,-5
22,3,CMSDESynPUF1k,44820864,187,144
22,3,CMSDESynPUF1k,314666,187,144
22,3,CMSDESynPUF1k,435561,-5,-5
22,4,CMSDESynPUF1k,44827330,-5,-5
22,4,CMSDESynPUF1k,435937,-5,-5
22,4,CMSDESynPUF1k,44825733,12,11
22,4,CMSDESynPUF1k,38001125,-5,-5
22,4,CMSDESynPUF1k,44819513,7,7
22,4,CMSDESynPUF1k,44826990,-5,-5
22,4,CMSDESynPUF1k,38001124,-5,-5
22,4,CMSDESynPUF1k,44822322,23,18
22,4,CMSDESynPUF1k,317109,23,18
22,4,CMSDESynPUF1k,73855,12,11
22,4,CMSDESynPUF1k,44826147,-5,-5
22,4,CMSDESynPUF1k,38001126,-5,-5
22,4,CMSDESynPUF1k,435773,7,7
23,9,CMSDESynPUF1k,1180186,-5,-5
23,9,CMSDESynPUF1k,1180188,-5,-5
23,9,CMSDESynPUF1k,44994209,-5,-5
23,9,CMSDESynPUF1k,45179123,-5,-5
23,9,CMSDESynPUF1k,44994543,-5,-5
23,9,CMSDESynPUF1k,44820951,15,14
23,9,CMSDESynPUF1k,44924018,-5,-5
23,9,CMSDESynPUF1k,19033211,-5,-5
